,0
Oriental Carbon and Chemicals,OCCL
OM Infra,OMINFRAL
Oil and Natural Gas Corporation,ONGC
Orient Paper and Industries,ORIENTPPR
One Point One Solutions Ltd.,ONEPOINT
RHI Magnesita India,RHIM
Patel Engineering Company,PATELENG
Peria Karamalai Tea and Produce Company,PKTEA
Phoenix Mills,PHOENIXLTD
AMJ Land,AMJLAND
Rashtriya Chemicals and Fertilisers,RCF
SEMAC CONSULTANTS,SEMAC
Rane Madras,RML
Route Mobile,ROUTE
Ratnamani Metals and Tubes,RATNAMANI
Sri Adhikari Brothers Television,SABTNL
SAKUMA EXPORTS LTD.,SAKUMA
Shree Cements,SHREECEM
Som Distilleries and Breweries,SDBL
Shree Digvijay Cement Company,SHREDIGCEM
Paisalo Digital Ltd.,PAISALO
Shanti Educational Initiatives Limited,BOM: 539921
Sarda Energy and Minerals,SARDAEN
SignatureGlobal India,SIGNATURE
Sadbhav Infrastructure Projects,SADBHIN
SVP Global Textiles,SVPGLOB
Shyam Metalics & Energy,SHYAMMETL
Sandur Manganese and Iron Ores,SANDUMA
Shree Pushkar Chemicals and Fertilisers,SHREEPUSHK
Spencer Retail,SPENCERS
Southern Petrochemical Industries Corporation,SPIC
Sree Rayalaseema Hi Strength Hyp,SRHHYPOLTD
Shreyas Shipping,SHREYAS
Sukhjit Starch and Chemicals,SUKHJITS
Balaxi Pharmaceuticals,BALAXI
Tainwala Chemicals and Plastics (India),TAINWALCHM
The Tata Power Company,TATAPOWER
TATA Consumer Products,TATACONSUM
TITAGARH RAIL SYSTEMS,TITAGARH
PAKKA,PAKKA
