,0
Jindal Poly Investment and Finance Company Limited,JPF01
Jaiprakash Power Ventures Limited,JBI
Jana Small Finance Bank Limited,JSFBL
Jindal Stainless Limited,JSW01
Jubilant Ingrevia Limited,JF04
Just Dial Limited,JO03
Jupiter Wagons Limited,JSW01
Hindalco Industries Limited,HU
Housing & Urban Development Corporation Limited,HDF01
ICICI Bank Limited,PP
ICICI Lombard General Insurance Company Limited,ICI02
Indian Bank,ICC05
Indian Card Clothing Company Limited,ITC
Indo Borax & Chemicals Limited,IHP
Indoco Remedies Limited,ITC
Indowind Energy Limited,ITT02
Inventure Growth & Securities Limited,ICI02
India Tourism Development Corporation Limited,IRC
ITD Cementation India Limited,ICI02
Inox Wind Energy Limited,IHR
Le Travenues Technology Limited,ICI02
JB Chemicals & Pharmaceuticals Limited,JNI02
JBM Auto Limited,ICI02
Jindal Steel & Power Limited,JHS01
Jindal Drilling And Industries Limited,JSW01
JK Cement Limited,IHR
Jtekt India Limited,JIL01
Jubilant Industries Limited,JSW01
Kajaria Ceramics Limited,JL
Kakatiya Cement Sugar & Industries Limited,KMB
Sai Silks (Kalamandir) Limited,SAI
Kalyani Commercials Limited,KJI01
Kamat Hotels (I) Limited,KMB
Kanani Industries Limited,ADANI54145
Kanoria Chemicals & Industries Limited,KNP
Kapston Services Limited,KMB
Kaya Limited,KID
Kaynes Technology India Limited,KTI
KBC Global Limited,IHR
KCP Limited,ICI02
Hindustan Unilever Limited,HU
Honda India Power Products Limited,HSP02
Himadri Speciality Chemical Limited,HCI01
Huhtamaki India Limited,LIC09
IDFC Limited,ADANI54145
The India Cements Limited,ICC05
Indiamart Intermesh Limited,ITC
Indian Hume Pipe Company Limited,IHP
Indo Tech Transformers Limited,IA04
IOL Chemicals and Pharmaceuticals Limited,IOL01
Indian Railway Catering And Tourism Corporation Limited,IRC
IVP Limited,IREDAL
Jai Balaji Industries Limited,JBI
Jamna Auto Industries Limited,JAI
Jayaswal Neco Industries Limited,JNI02
Jet Freight Logistics Limited,JTI
J.G.Chemicals Limited,ADANI54145
JHS Svendgaard Laboratories Limited,JHS01
Jindal Saw Limited,JS08
Jindal Worldwide Limited,JW01
J.Kumar Infraprojects Limited,ADANI54145
JNK India Limited,JSW01
JSW Holdings Limited,JSW
JSW Infrastructure Limited,JSW01
Jubilant Foodworks Limited,JF04
Jubilant Pharmova Limited,JO03
Juniper Hotels Limited,JHL
Jyothy Labs Limited,JL
Kansai Nerolac Paints Limited,CESCV54233
Indo Rama Synthetics (India) Limited,IR05
Indo Thai Securities Limited,ITS
Indian Oil Corporation Limited,IOC
Indian Renewable Energy Development Agency Limited,IREDAL
IL&FS Investment Managers Limited,CDB
Jai Corp Limited,JC08
Nandani Creation Limited,NC09
Jayshree Tea & Industries Limited,JTI
Jupiter Life Line Hospitals Limited,JA01
JSW Energy Limited,JE01
JSW Steel Limited,JSW01
JTL INDUSTRIES LIMITED,GREEN54285
Kabra Extrusion Technik Limited,KET
Kalyani Forge Limited,KF02
Kalyan Jewellers India Limited,KJI01
Kamdhenu Limited,KDD
Kamdhenu Ventures Limited,CESCV54233
Kanpur Plastipack Limited,KP02
Karma Energy Limited,ADANI54145
KDDL Limited,LIC09
DSJ Keep Learning Limited,KEC04
Kernex Microsystems (India) Limited,KEI
Kesoram Industries Limited,KI08
Keynote Financial Services Limited,KCS
Kilitch Drugs (India) Limited,KDI
Kirloskar Industries Limited,KB02
Kewal Kiran Clothing Limited,KGK
Kohinoor Foods Limited,LTF
Kokuyo Camlin Limited,KMB
Kothari Products Limited,KSC
KRBL Limited,KRB01
Kritika Wires Limited,KP11
Krsnaa Diagnostics Limited,KD03
Kalyani Steels Limited,KSC01
Lorenzini Apparels Limited,LIC09
Lancor Holdings Limited,DLP01
Lasa Supergenerics Limited,LS06
Laurus Labs Limited,LL05
Laxmi Cotspin Limited,LC03
Liberty Shoes Limited,LGH
Macrotech Developers Limited,MD03
Larsen & Toubro Limited,LT
Macpower CNC Machines Limited,MCM03
Madras Fertilizers Limited,MF15
Magadh Sugar & Energy Limited,MSE01
Magnum Ventures Limited,MV04
Bank of Maharashtra,BM05
Maha Rashtra Apex Corporation Limited,MAC02
Mahamaya Steel Industries Limited,ICI02
Maharashtra Scooters Limited,MLD
Maharashtra Seamless Limited,ICI02
Manaksia Steels Limited,MCM02
Mangalam Cement Limited,MP02
Man Industries (India) Limited,RNL
Manomay Tex India Limited,MI37
Manorama Industries Limited,MP22
Manugraph India Limited,MI08
Marico Limited,MO
Marine Electricals (India) Limited,ME21
Marksans Pharma Limited,MP21
Marshall Machines Limited,MM04
Mastek Limited,LIC09
Matrimony.Com Limited,M20
Mawana Sugars Limited,MS24
Max Estates Limited,MEL02
Multi Commodity Exchange of India Limited,MCE
Global Health Limited,GH03
Medico Remedies Limited,MR
Mahalaxmi Rubtech Limited,MGEL14874
Mishra Dhatu Nigam Limited,MDN
Minda Corporation Limited,MC23
Mirza International Limited,MI46
MITCON Consultancy & Engineering Services Limited,ICI02
Mittal Life Style Limited,MLS
M K Proteins Limited,P09
MM Forgings Limited,MMF
MMP Industries Limited,MIL17
Mohit Industries Limited,RMM
Khadim India Limited,KIL
Khaitan Chemicals & Fertilizers Limited,KCF
Khaitan (India) Limited,MIL16
Khandwala Securities Limited,KS15
Kalyani Investment Company Limited,KIC04
Krishna Institute of Medical Sciences Limited,KIo01
Kiri Industries Limited,HSS
Kirloskar Brothers Limited,KB02
Kirloskar Oil Engines Limited,KOE03
Kirloskar Pneumatic Company Limited,KGK
Kitex Garments Limited,KG01
K.M.Sugar Mills Limited,APP
Kothari Sugars And Chemicals Limited,KSC
Kothari Petrochemicals Limited,MRP
KPI Green Energy Limited,KPIGL54232
Krebs Biochemicals and Industries Limited,KBI
Kridhan Infra Limited,BC06
Krishana Phoschem Limited,KP11
The Karnataka Bank Limited,TPC
Kuantum Papers Limited,YP01
Lagnam Spintex Limited,LS01
Dr. Lal Path Labs Ltd.,DLP01
La Opala RG Limited,LOR
Latent View Analytics Limited,LVA
Latteys Industries Limited,LIC09
Lakshmi Machine Works Limited,LMW
LCC Infotech Limited,CC22
Lemon Tree Hotels Limited,LTH
Lexus Granito (India) Limited,LG
Lakshmi Finance & Industrial Corporation Limited,LFI01
LG Balakrishnan & Bros Limited,LGB
Laxmi Goldorna House Limited,LGH
Life Insurance Corporation Of India,LIC09
Likhitha Infrastructure Limited,ICI02
Lords Chloro Alkali Limited,LCA01
Lotus Eye Hospital and Institute Limited,LEC01
Lovable Lingerie Limited,LL04
Kolte - Patil Developers Limited,ADANI54145
Kriti Nutrients Limited,KIo01
Ksb Limited,KSB
Kaveri Seed Company Limited,KSC01
Kshitij Polyline Limited,KP14
LIC Housing Finance Limited,LIC09
Linc Limited,LP06
LLOYDS ENGINEERING WORKS LIMITED,LSI02
Lloyds Metals And Energy Limited,SGT
L&T Technology Services Limited,LTF
Madhav Marbles and Granites Limited,MMF04
Kfin Technologies Limited,NII02
Kingfa Science & Technology (India) Limited,HSS
KIOCL Limited,LIC09
KNR Constructions Limited,KC13
Kopran Limited,ADANI54145
Kriti Industries (India) Limited,KII
Kronox Lab Sciences Limited,KLS
Libas Consumer Products Limited,LD03
Lincoln Pharmaceuticals Limited,LIC09
Linde India Limited,BOC
Lokesh Machines Limited,LMS
Loyal Textile Mills Limited,LTM
Landmark Property Development Company Limited,LPD
L&T Finance Limited,APMFI54277
LT Foods Limited,LTF
LTIMindtree Limited,LIC09
Lupin Limited,L
Lyka Labs Limited,LHI
Lypsa Gems & Jewellery Limited,LGJ
Mahindra & Mahindra Limited,KMB
Maan Aluminium Limited,MA03
Madhucon Projects Limited,MP16
Mahindra EPC Irrigation Limited,EPC
Maheshwari Logistics Limited,ML03
Mahindra Lifespace Developers Limited,MLD
Mahindra Logistics Limited,ML04
Maithan Alloys Limited,MA04
Mallcom (India) Limited,MS24
Malu Paper Mills Limited,MPM03
Manaksia Aluminium Company Limited,MAC03
Manaksia Coated Metals & Industries Limited,MCM02
Manaksia Limited,MS24
Manali Petrochemicals Limited,MP22
Manappuram Finance Limited,MGF01
Man Infraconstruction Limited,MDO
Mankind Pharma Limited,MP22
Mangalam Organics Limited,MS24
Vedant Fashions Limited,VB05
C.E. Info Systems Limited,CI11
Maral Overseas Limited,MO
Marathon Nextgen Realty Limited,MNR
Maruti Suzuki India Limited,MS24
MAS Financial Services Limited,MFS09
Max Healthcare Institute Limited,MS24
Max India Limited,MHI
Mayur Uniquoters Ltd,MU
Mazda Limited,MS24
Mazagon Dock Shipbuilders Limited,MDS01
Madhya Bharat Agro Products Limited,MBA
Mcnally Bharat Engineering Company Limited,MBE
MBL Infrastructure Limited,BC06
Madhav Copper Limited,MS24
Max Financial Services Limited,MB06
Mangalam Global Enterprise Limited,IHR
Mahanagar Gas Limited,ADG01
Mahindra Holidays & Resorts India Limited,MHR
MIC Electronics Limited,AMS
Mindteck (India) Limited,MIL16
MIRC Electronics Limited,ME
MMTC Limited,MS24
Modi Rubber Limited,MR01
MODISON LIMITED,ADANI54145
Mold-Tek Technologies Limited,NII02
Mold-Tek Packaging Limited,ANURO54286
Monarch Networth Capital Limited,NSB
Monte Carlo Fashions Limited,MC05
Morarjee Textiles Limited,PL10
Morepen Laboratories Limited,ML06
Samvardhana Motherson International Limited,MSS01
Motilal Oswal Financial Services Limited,MOF01
Motisons Jewellers Limited,MJL
The Motor & General Finance Limited,MGF01
MphasiS Limited,MB02
MPS Limited,ADANI54145
MRO-TEK Realty Limited,MRO
Mangalore Refinery and Petrochemicals Limited,MRP
MSP Steel & Power Limited,MSP
Mstc Limited,ADANI54145
Motherson Sumi Wiring India Limited,MSW
Mahanagar Telephone Nigam Limited,MTN
Mukand Limited,LIC09
Mukka Proteins Limited,MPL05
Mukta Arts Limited,M02
Munjal Auto Industries Limited,MAI04
Muthoot Capital Services Limited,MF10
Muthoot Microfin Limited,MML06
Manoj Vaibhav Gems N Jewellers Limited,MVGJL
NACL Industries Limited,GREEN54285
Nahar Industrial Enterprises Limited,NE
Nahar Poly Films Limited,NIH
Nahar Spinning Mills Limited,NSM
Nippon Life India Asset Management Limited,RNL
Narmada Agrobase Limited,NA
Natco Pharma Limited,NP07
Nath Bio-Genes (India) Limited,NTP
Info Edge (India) Limited,IEI01
NAVA LIMITED,NTP
Navin Fluorine International Limited,NFI
Navkar Corporation Limited,NC02
Navneet Education Limited,NP01
Nazara Technologies Limited,NT
NBCC (India) Limited,NTP
N. B. I. Industrial Finance Company Limited,IFC02
NCC Limited,ADANI54145
NCL Industries Limited,GREEN54285
Naga Dhunseri Group Limited,NCC01
Nandan Denim Limited,NE06
NDL Ventures Limited,ICI02
Ndr Auto Components Limited,NAC02
New Delhi Television Limited,NDT01
Nelcast Limited,NEC01
NELCO Limited,LIC09
Neogen Chemicals Limited,NC11
Nesco Limited,LIC09
Nestle India Limited,NI
Netweb Technologies India Limited,NTI03
Network18 Media & Investments Limited,NMI
Neuland Laboratories Limited,NL
Newgen Software Technologies Limited,NST01
Next Mediaworks Limited,ICI02
National Fertilizers Limited,NF06
Nakoda Group of Industries Limited,ICI02
NGL Fine-Chem Limited,NGL
Narayana Hrudayalaya Ltd.,NTP
NHPC Limited,N07
The New India Assurance Company Limited,TPC
NRB Industrial Bearings Limited,IHR
NIIT Limited,NII02
Nila Spaces Limited,NILAS7450
Nilkamal Limited,NTP
NINtec Systems Limited,NSL04
Indo-National Limited,ITC
Niraj Cement Structurals Limited,NCS02
Niraj Ispat Industries Limited,NII03
Nitco Limited,ICI02
Nitin Spinners Limited,NTP
NK Industries Limited,GREEN54285
NLC India Limited,NTP
NOCIL Limited,LIC09
Noida Toll Bridge Company Limited,NTB
Norben Tea & Exports Limited,NTE
Nova Agritech Limited,NTP
N R Agarwal Industries Limited,AIC03
NRB Bearing Limited,NRB
Nupur Recyclers Limited,NR02
Nalwa Sons Investments Limited,NSI02
NMDC Steel Limited,NS15
Nucleus Software Exports Limited,ICI02
Nureca Limited,LIC09
FSN E-Commerce Ventures Limited,FEV
Oberoi Realty Limited,OR
Oil India Limited,IOC
Oil Country Tubular Limited,ONG
Omax Autos Limited,O02
OM INFRA LIMITED,OMM02
Onelife Capital Advisors Limited,OCA
One Point One Solutions Limited,OPO
Orbit Exports Limited,OE
The Orissa Minerals Development Company Limited,OMD
Ortel Communications Limited,OC05
Ortin Laboratories Limited,OL01
Osia Hyper Retail Limited,OHR
Palash Securities Limited,SEI03
Panache Digilife Limited,RSI
Panama Petrochem Limited,PGC
Paras Petrofils Limited,PDS01
Apeejay Surrendra Park Hotels Limited,ASPHL
Patel Integrated Logistics Limited,PEC
PCBL LIMITED,ADANI54145
PC Jeweller Limited,PJ
Pudumjee Paper Products Limited,PPP04
PDS Limited,ICI02
Pearl Polymers Limited,HPF01
Piramal Enterprises Limited,PGC
Pennar Industries Limited,PI28
Persistent Systems Limited,PS15
Petronet LNG Limited,PLN
Prime Focus Limited,PGC
PTC India Financial Services Limited,PIF02
PG Electroplast Limited,PE06
Pearl Global Industries Limited,HPF01
The Phoenix Mills Limited,PM02
Pidilite Industries Limited,PI11
Pilani Investment and Industries Corporation Limited,PII03
Pioneer Embroideries Limited,PE
Pitti Engineering Limited,PL
Pix Transmissions Limited,PT07
The Peria Karamalai Tea & Produce Company Limited,PKT
Plastiblends India Limited,PI13
Platinum Industries Limited,PIL09
Plaza Wires Limited,PWL
Punjab National Bank,PNB05
PNB Gilts Limited,PNB04
PNB Housing Finance Limited,PHF
Pritish Nandy Communications Limited,PMC
PNC Infratech Limited,PI26
Pondy Oxides & Chemicals Limited,PO03
Poddar Housing and Development Limited,PGC
Poddar Pigments Limited,PP15
Pokarna Limited,PL06
PB Fintech Limited,PF14
Polycab India Limited,PI44
Poly Medicure Limited,PM06
Polyplex Corporation Limited,PGC
Poonawalla Fincorp Limited,MF20
Power Grid Corporation of India Limited,PGC
Hitachi Energy India Limited,HDF01
Prakash Pipes Limited,PI17
Piramal Pharma Limited,PP34
Prajay Engineers Syndicate Limited,PES
Praj Industries Limited,PI17
Prakash Industries Limited,GREEN54285
Prakash Steelage Limited,SR01
Praxis Home Retail Limited,PRAXI54090
Precision Camshafts Limited,PC16
Precot Limited,LIC09
Precision Wires India Limited,PWI
Premier Explosives Limited,PE02
Premier Polyfilm Limited,PP19
Prestige Estates Projects Limited,PEP02
Pricol Limited,P9
Prime Securities Limited,ICI02
Prince Pipes And Fittings Limited,PPF
Priti International Limited,PMC
Pritika Auto Industries Limited,SME02
Privi Speciality Chemicals Limited,PGC
Prozone Realty Limited,PCS03
Prism Johnson Limited,PC
Prudent Corporate Advisory Services Limited,PCA01
Punjab & Sind Bank,PSB
PSP Projects Limited,PP26
PTC India Limited,OCL
PTC Industries Limited,PTC03
PTL Enterprises Limited,PTL06
Punjab Chemicals & Crop Protection Limited,PCC03
Puravankara Limited,LIC09
PVP Ventures Limited,PVP
Nuvama Wealth Management Limited,NWML
OnMobile Global Limited,ONG
Orchid Pharma Limited,OCP
Oricon Enterprises Limited,OE03
Orient Cement Limited,ONG
ORIENT CERATECH LIMITED,OCI
Orient Electric Limited,ORIEN54130
Oriental Hotels Limited,ONG
Orient Press Limited,ORIEN54130
Orient Paper & Industries Limited,OPI
Oswal Agro Mills Limited,ONG
Nuvoco Vistas Corporation Limited,NVC
Oriental Aromatics Limited,CAP
Orissa Bengal Carrier Limited,OBC01
Oriental Carbon & Chemicals Limited,OCC
Oracle Financial Services Software Limited,OFS01
Olectra Greentech Limited,GI29
Omaxe Limited,ADANI54145
Optiemus Infracom Limited,AF02
Oriental Trimex Limited,OR01
Orient Bell Limited,ORIEN54130
Page Industries Limited,OG02
Pansari Developers Limited,MLD
Paras Defence and Space Technologies Limited,PDS01
Patanjali Foods Limited,PD05
Patel Engineering Limited,PEC
Pavna Industries Limited,PGC
One 97 Communications Limited,ONG
Peninsula Land Limited,PL10
Procter & Gamble Hygiene and Health Care Limited,PFC02
Procter & Gamble Health Limited,PGH
Power & Instrumentation (Gujarat) Limited,PIG
PI Industries Limited,PI11
Power Mech Projects Limited,PI08
PPAP Automotive Limited,PPP03
Prudential Sugar Corporation Limited,PCA01
PVR INOX Limited,PGC
Quess Corp Limited,PVSL
Quick Heal Technologies Limited,QHT
Race Eco Chain Limited,AI08
Railtel Corporation Of India Limited,RVN
Rain Industries Limited,LSI02
Raj Rayon Industries Limited,RR01
Rajshree Sugars & Chemicals Limited,RI
Raj Television Network Limited,RTN
Rallis India Limited,RI03
Shree Rama Newsprint Limited,RNP01
Rama Phosphates Limited,RP07
Rama Steel Tubes Limited,RST
The Ramco Cements Limited,MC
Ramco Systems Limited,CCS
Ramky Infrastructure Limited,RI
Ram Ratna Wires Limited,RRW
Rane Holdings Limited,RH01
Rategain Travel Technologies Limited,RTT
Ratnamani Metals & Tubes Limited,RMT
Ratnaveer Precision Engineering Limited,RPE
Raymond Limited,LIC09
Restaurant Brands Asia Limited,BKI01
Rane Brake Lining Limited,RBL01
RBL Bank Limited,RI
RBZ Jewellers Limited,RJL
Rashtriya Chemicals and Fertilizers Limited,RCF01
Reliance Communications Limited,RC13
REC Limited,ADANI54145
Redington Limited,RI
Redtape Limited,R04
Refex Industries Limited,RR05
Reliance Chemotex Industries Limited,RCI02
Reliable Data Services Limited,RDS01
Reliance Industries Limited,RIL08
Religare Enterprises Limited,RI
Reliance Infrastructure Limited,RI38
Ravindra Energy Limited,RI
Remsons Industries Limited,RI10
Shree Renuka Sugars Limited,SRS03
Repco Home Finance Limited,RHF
Renaissance Global Limited,SH10
Reliance Home Finance Limited,RHF01
RHI MAGNESITA INDIA LIMITED,OR01
Robust Hotels Limited,LTH
Rico Auto Industries Limited,JAI
Reliance Industrial Infrastructure Limited,RII
RITES Limited,RI
Ravi Kumar Distilleries Limited,RKD
RKEC Projects Limited,RI
R K Swamy Limited,IHR
Rolta India Limited,RI15
Raj Oil Mills Limited,ROM01
Rossari Biotech Limited,RB05
Rossell India Limited,RT08
Roto Pumps Limited,RP17
ROUTE MOBILE LIMITED,RML02
RPG Life Sciences Limited,RPG05
Reliance Power Limited,RP
R.P.P. Infra Projects Limited,ICI02
Rajshree Polypack Limited,RP27
RPSG VENTURES LIMITED,RI
Rashi Peripherals Limited,RPL04
R R Kabel Limited,K04
R Systems International Limited,TW04
RattanIndia Enterprises Limited,RI
The Ruby Mills Limited,TAR
Ruchi Infrastructure Limited,BC06
Ruchira Papers Limited,YP01
Rupa & Company Limited,TM03
Rushil Decor Limited,KR05
Keystone Realtors Limited,KMB
Ravinder Heights Limited,RH03
Sab Events & Governance Now Media Limited,SAB02
Repro India Limited,OCL
Responsive Industries Limited,SH10
JHS Svendgaard Retail Ventures Limited,JSW01
Rishabh Instruments Limited,RI47
Ritco Logistics Limited,RI
Ramkrishna Forgings Limited,RF17
Rolex Rings Limited,RR11
Rollatainers Limited,R05
RattanIndia Power Limited,IIP
Rail Vikas Nigam Limited,RVN
Sadbhav Engineering Limited,SBI
Sadbhav Infrastructure Project Limited,SIP
Sadhana Nitrochem Limited,SBI
Sahyadri Industries Limited,SI86
Salona Cotspin Limited,SAKUM53271
S.A.L. Steel Limited,SBI
Salzer Electronics Limited,SE01
Sambhaav Media Limited,SBI
Samhi Hotels Limited,SH17
Sammaan Capital Limited,IHF01
Sampann Utpadan India Limited,MSS01
Sanco Industries Limited,ST02
The Sandesh Limited,TCS
Sandhar Technologies Limited,STl06
Sanghi Industries Limited,SMI
Sanghvi Movers Limited,SM10
Sanginita Chemicals Limited,AP26
Sarda Energy & Minerals Limited,SEM
Saregama India Limited,SBI
Satia Industries Limited,SI96
Satin Creditcare Network Limited,SCN
Sat Industries Limited,SIL15
Saurashtra Cement Limited,SBI
Shivalik Bimetal Controls Limited,SBC01
SBFC Finance Limited,SF33
Suratwwala Business Group Limited,SBI
SBI Cards and Payment Services Limited,SCP02
SBI Life Insurance Company Limited,SLI03
State Bank of India,SBI
Schaeffler India Limited,FAG
Shipping Corporation Of India Limited,GES
SecMark Consultancy Limited,SDB
SecUR Credentials Limited,SC10
SECUREKLOUD TECHNOLOGIES LIMITED,NII02
Sejal Glass Limited,SAG
Selan Exploration Technology Limited,SET
Sequent Scientific Limited,PID01
Servotech Power Systems Limited,SPS04
Seshasayee Paper and Boards Limited,SPB
Setco Automotive Limited,SBI
Setubandhan Infrastructure Limited,PC02
Sheela Foam Limited,SBI
Synergy Green Industries Limited,SGI02
STL Global Limited,SE25
Shah Metacorp Limited,SBI
Shah Alloys Limited,IHR
Shanthi Gears Limited,SG04
Sharda Cropchem Limited,SC04
Sharda Motor Industries Limited,SMI04
Share India Securities Limited,SPI08
Shradha Infraprojects Limited,SI65
Shree Digvijay Cement Co.Ltd,SDC
SHREE CEMENT LIMITED,SC12
Shrenik Limited,ADANI54145
Shreyans Industries Limited,SI20
Shreyas Shipping & Logistics Limited,SS12
Shriram Pistons & Rings Limited,SPR02
Shriram Finance Limited,SBI
Shriram Properties Limited,SP21
Shyam Century Ferrous Limited,SBI
Shyam Metalics and Energy Limited,SME05
Shyam Telecom Limited,SBI
Sigachi Industries Limited,SIL19
Signet Industries Limited,SF22
Sigma Solve Limited,SIL24
Signatureglobal (India) Limited,MIL16
Signpost India Limited,LIC09
Sikko Industries Limited,GREEN54285
Standard Industries Limited,HSL01
Sinclairs Hotels Limited,SBI
Sintercom India Limited,SI73
Sirca Paints India Limited,SPI06
SIS LIMITED,ADANI54145
Siti Networks Limited,WWI
Siyaram Silk Mills Limited,SSM05
S.J.S. Enterprises Limited,SBI
SJVN Limited,ADANI54145
SKF India Limited,SKF01
Sky Gold Limited,SG08
Smartlink Holdings Limited,SNS01
SMC Global Securities Limited,SGS03
Royal Orchid Hotels Limited,RO01
R. S. Software (India) Limited,MIL16
RSWM Limited,LIC09
S&S Power Switchgears Limited,PGC
Sri Adhikari Brothers Television Network Limited,SAB
Safari Industries (India) Limited,SII01
Sagardeep Alloys Limited,SA05
Sagar Cements Limited,SC27
Sah Polymers Limited,SBI
Steel Authority of India Limited,SAI
Sakar Healthcare Limited,MHI
Sakthi Sugars Limited,S12
Sandur Manganese & Iron Ores Limited,SMI
Sangam (India) Limited,SBI
Sanofi India Limited,AP26
Sansera Engineering Limited,SE27
Sanstar Limited,LIC09
Sanwaria Consumer Limited,SBI
Sapphire Foods India Limited,SFI05
Sarla Performance Fibers Limited,SBI
Sarveshwar Foods Limited,SF29
Schneider Electric Infrastructure Limited,SE18
Shipping Corporation of India Land and Assets Limited,SCoILAAL
Sheetal Cool Products Limited,SCP
SEL Manufacturing Company Limited,SET
SEMAC CONSULTANTS LIMITED,RCP
Senco Gold Limited,IHR
SEPC Limited,SBI
Shaily Engineering Plastics Limited,SEP02
Shakti Pumps (India) Limited,SPI08
Shalby Limited,ICI02
Shalimar Paints Limited,SP13
Shivalik Rasayan Limited,SE03
Shivam Autotech Limited,SBI
Shiva Mills Limited,SHIVA54096
Shiva Texyarn Limited,ST17
S H Kelkar and Company Limited,KC17
Shoppers Stop Limited,SS51
Shree Pushkar Chemicals & Fertilisers Limited,SPC03
Shree Rama Multi-Tech Limited,SRI01
Siemens Limited,ICI02
Silgo Retail Limited,SPENC54233
SIL Investments Limited,GI01
Silly Monks Entertainment Limited,SME03
Silver Touch Technologies Limited,STT01
Simbhaoli Sugars Limited,MS25
Simplex Infrastructures Limited,SI82
Sindhu Trade Links Limited,BCF03
Skipper Limited,ADANI54145
SKM Egg Products Export (India) Limited,SKM
SML Isuzu Limited,SM
Sarthak Metals Limited,SM14
SMS Lifesciences India Limited,SP38
SMS Pharmaceuticals Limited,SBI
Snowman Logistics Limited,SL17
Sobha Limited,SBI
Softtech Engineers Limited,SE24
Somi Conveyor Beltings Limited,SCB
Sona BLW Precision Forgings Limited,SBP04
Sonata Software Limited,SS42
Savita Oil Technologies Limited,SOT01
The South Indian Bank Limited,TSI02
South West Pinnacle Exploration Limited,SWP
S. P. Apparels Limited,A
Spandana Sphoorty Financial Limited,SSF07
Sun Pharma Advanced Research Company Limited,SPI
Spencer's Retail Limited,AEI01
Southern Petrochemicals Industries Corporation  Limited,SPI01
SPL Industries Limited,SPL9
Supreme Petrochem Limited,SI48
SPML Infra Limited,SBI
Shekhawati Poly-Yarn Limited,SP09
Sreeleathers Limited,S20
SRF Limited,ADANI54145
SRG Housing Finance Limited,SHF02
Sree Rayalaseema Hi-Strength Hypo Limited,SRH03
Steel Strips Wheels Limited,SSW02
Stanley Lifestyles Limited,SLL02
Sterling Tools Limited,ST
Sterlite Technologies Limited,NII02
Stove Kraft Limited,SK03
Stylam Industries Limited,GL02
Styrenix Performance Materials Limited,INE01
Subex Limited,S15
Subros Limited,ADANI54145
Sudarshan Chemical Industries Limited,SBI
Sukhjit Starch & Chemicals Limited,SSC02
Sula Vineyards Limited,SV01
Sumeet Industries Limited,SI45
Sumitomo Chemical India Limited,SBI
Sundram Fasteners Limited,SF23
Supreme Industries Limited,SBI
Supriya Lifescience Limited,SL20
Surya Roshni Limited,SR01
Suryoday Small Finance Bank Limited,SSF08
Sutlej Textiles and Industries Limited,IHR
Suumaya Industries Limited,GREEN54285
Suven Life Sciences Limited,SLS01
Suven Pharmaceuticals Limited,SP19
Suvidhaa Infoserve Limited,SI84
Suzlon Energy Limited,SE17
Shree Vasu Logistics Limited,SVL01
SVP GLOBAL TEXTILES LIMITED,SM18
Swan Energy Limited,ADANI54145
Swaraj Engines Limited,SE
Swelect Energy Systems Limited,NPS
Syncom Formulations (India) Limited,SWS
Syngene International Limited,IHR
Syrma SGS Technology Limited,SBI
Tainwala Chemical and Plastic (I) Limited,TCP
Taj GVK Hotels & Resorts Limited,TGV
Take Solutions Limited,TS09
Tara Chand InfraLogistic Solutions Limited,TCL01
Tarapur Transformers Limited,TT04
Rudrabhishek Enterprises Limited,RE11
Rane (Madras) Limited,RM08
Saksoft Limited,SBI
Sakuma Exports Limited,SAKUM53271
Seamec Limited,CCL
Shankara Building Products Limited,SBP02
Shanti Overseas (India) Limited,SO01
Shemaroo Entertainment Limited,SE03
Soma Textiles & Industries Limited,SHIL54290
SONAM LIMITED,LIC09
Spacenet Enterprises India Limited,NCT
SRM Contractors Limited,SBI
Shree Ram Proteins Limited,SRP07
Strides Pharma Science Limited,SBI
Star Cement Limited,OCL
Star Health and Allied Insurance Company Limited,SBI
Star Paper Mills Limited,APP
Starteck Finance Limited,NMA
The State Trading Corporation of India Limited,TCS
Steelcast Limited,S06
Steel City Securities Limited,SCS09
Sumit Woods Limited,SEI02
Summit Securities Limited,SS56
Sundaram Clayton Limited,SC
Sundaram Multi Pap Limited,SMP02
Sundaram Finance Limited,SBI
Sundaram Finance Holdings Limited,SFH
Sundaram Brake Linings Limited,SBL
Sunflag Iron And Steel Company Limited,SIS05
Sun Pharmaceutical Industries Limited,SPI
Sun TV Network Limited,STN01
Superhouse Limited,LIC09
Super Spinning Mills Limited,SI48
Suprajit Engineering Limited,SE15
Supreme Engineering Limited,SE26
Supreme Infrastructure India Limited,SII03
Surana Telecom and Power Limited,ST12
Suryalakshmi Cotton Mills Limited,SCM02
Sterling and Wilson Renewable Energy Limited,SWS
Symphony Limited,SCS04
Talbros Automotive Components Limited,TAC
Tanla Platforms Limited,TS11
Anant Raj Global Limited,ARI
Tarmat Limited,ARG
Tarsons Products Limited,TP01
Tasty Bite Eatables Limited,TCS
Tata Chemicals Limited,TC
Tata Communications Limited,TC17
Salasar Techno Engineering Limited,STE02
Sasken Technologies Limited,SCT01
Sastasundar Ventures Limited,CESCV54233
SBC Exports Limited,ICI02
Shilpa Medicare Limited,SM19
Solara Active Pharma Sciences Limited,SII04
Somany Ceramics Limited,SHIL54290
Speciality Restaurants Limited,SBI
STEEL EXCHANGE INDIA LIMITED,SEI02
Stel Holdings Limited,SBI
